question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික උද්‍යාන 22 ක් නම් කුමක්ද?,"යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය","යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය","යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය","යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය, උඩගලව, කුඩාව, රිදිගල, රුකුල, ගල්ඔය, කුමන, යාල, උඩවලව, විල්පත්තු, බුන්දල, කුමන, ගල්ඔය, ලහුගල, සෝමාවතිය",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ජාතික වනෝද්‍යාන 4 ක් නම් කුමක්ද?,"යාල, විල්පත්තු, උඩවලව, බුන්දල","යාල, විල්පත්තු, උඩවලව, කුමන","යාල, විල්පත්තු, උඩවලව, ගල්ඔය","යාල, විල්පත්තු, උඩවලව, ලහුගල",A,භූගෝල විද්‍යාව
අනුරාධපුර රාජධානියේ පළමු රජතුමා කවුද?,"පණ්ඩුකාභය","දුටුගැමුණු","වලගම්බා","පරාක්‍රමබාහු",A,ඉතිහාසය
කෝට්ටේ රාජධානියේ පළමු රජතුමා කවුද?,"පරාක්‍රමබාහු VI","භුවනෙකබාහු VI","විජයබාහු VII","රාජසිංහ I",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු කාන්තා අගමැතිවරිය කවුද?,"සිරිමාවෝ බණ්ඩාරනායක","චන්ද්‍රිකා කුමාරතුංග","රාජිනී වික්‍රමසිංහ","නිමල් සිරිපාල ද සිල්වා",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු කාන්තා ජනාධිපතිවරිය කවුද?,"චන්ද්‍රිකා කුමාරතුංග","සිරිමාවෝ බණ්ඩාරනායක","රාජිනී වික්‍රමසිංහ","නිමල් සිරිපාල ද සිල්වා",A,ඉතිහාසය
ශ්‍රී ලංකාවේ පළමු ආණ්ඩුක්‍රම ව්‍යවස්ථාව හඳුන්වා දුන්නේ කවදාද?,"1948","1972","1978","1982",B,ඉතිහාසය
ශ්‍රී ලංකාවේ දෙවන ආණ්ඩුක්‍රම ව්‍යවස්ථාව හඳුන්වා දුන්නේ කවදාද?,"1948","1972","1978","1982",C,ඉතිහාසය
ශ්‍රී ලංකාවේ තෙවන ආණ්ඩුක්‍රම ව්‍යවස්ථාව හඳුන්වා දුන්නේ කවදාද?,"1948","1972","1978","1982",D,ඉතිහාසය
10 × 13 = ?,"120","130","140","150",B,ගණිතය
18 + 22 = ?,"38","40","42","44",B,ගණිතය
